timestamp,iteracion,delta
3981022110,0,12
3981022110,1,11
3981022110,2,21
3981022110,3,11
3981022110,4,11
3981022110,5,11
3981022110,6,11
3981022110,7,10
3981022110,8,10
3981022110,9,10
3981022110,10,10
3981022110,11,11
3981022110,12,11
3981022110,13,11
3981022110,14,11
3981022110,15,11
3981022110,16,11
3981022110,17,11
3981022110,18,11
3981022110,19,11
